V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1,10487,3,1,4,3000,B003,0,1,S122,2,1000,41000,5,19.18,1103,36,0
1,10023,2,1,4,6500,B003,0,1,S133,2,0,100000,5,19.18,1103,61,0
0,10013,2,3,4,1000,B002,1,0,S122,3,0,40000,4,19.18,1103,60,0
0,10004,1,3,4,4400,B004,1,1,S133,3,0,72000,5,14.85,1707,55,0
1,10003,1,1,4,2353.7,B001,1,1,S133,2,0,20000,5,19.18,1103,60,0
0,10006,1,3,4,5200,B001,1,0,S122,2,0,40000,4,19.18,1103,56,0
1,10449,3,1,4,2500,B037,0,1,S159,2,100,11000,1,19.18,1103,63,0
1,10005,1,1,4,3000,B001,1,1,S159,2,0,10000,3,19.18,1103,68,0
0,10009,2,3,4,8500,B001,1,0,S133,5,0,40000,4,19.18,1103,36,0
1,10107,3,1,4,2500,B003,0,1,S133,2,810,30000,5,20,795,41,0
0,10003,1,3,4,4700,B001,1,0,S133,2,0,40000,4,19.18,1103,47,0
0,10002,1,2,4,3200,B001,1,1,S133,6,0,49000,5,20,1298,70,0
1,10003,1,1,1,2700,B002,1,1,S159,3,0,40000,5,19,1038,60,0
1,10002,1,3,4,6800,B001,1,1,S123,2,0,100000,5,19.18,1103,45,0
0,10001,1,1,4,2950,B001,1,0,S133,5,1200,40000,4,19.18,1103,33,0
1,10001,1,1,4,3500,B001,1,1,S133,5,1200,33000,3,20,1226,65,0
1,10003,1,1,4,2500,B023,0,1,S122,2,600,30000,3,19.18,1103,48,0
0,10001,1,3,4,4750,B012,0,0,S133,5,2750,40000,4,19.18,1103,59,0
1,10573,3,1,4,2000,B001,1,1,S133,2,400,30000,5,20,795,55,0
1,10005,1,3,4,2500,B001,1,1,S133,5,600,22000,4,20,669,42,0
1,10007,1,3,4,2500,B021,1,1,S122,2,0,10000,3,20,372,35,0
1,10022,2,3,4,6200,B003,0,1,S159,3,0,107000,5,14.85,2537,35,0
0,10110,3,3,4,1000,B001,1,0,S159,2,0,40000,4,19.18,1103,56,0
0,10003,1,3,4,1700,B002,1,0,S122,3,0,40000,4,19.18,1103,67,0
1,10027,1,3,1,4000,B002,1,1,S133,5,0,30000,5,16.75,742,58,0
1,10645,3,1,4,2850,B003,0,1,S133,2,900,30000,4,20,913,57,0
1,10001,1,2,4,1720,B001,1,1,S159,2,500,10000,5,18.5,257,52,0
1,10001,1,1,4,2500,B045,0,1,S133,3,0,36000,5,19,934,39,0
1,10001,1,3,4,5200,B006,1,1,S143,2,716.1,50000,5,19.18,1103,49,0
1,10004,1,1,4,7500,B004,1,1,S133,2,0,15000,2,19.18,1103,53,0
0,10006,1,2,4,8050,B005,1,0,S122,2,3300,40000,4,19.18,1103,63,0
1,10063,3,1,4,5000,B008,0,1,S122,2,0,10000,2,19.18,1103,34,0
0,10018,3,3,4,1300,B009,0,0,S122,6,0,40000,4,19.18,1103,68,0
0,10002,1,2,4,10000,B001,1,0,S134,2,0,40000,4,19.18,1103,44,0
1,10001,1,3,4,5050,B001,1,1,S123,2,0,100000,5,19.18,1103,50,0
1,10066,3,1,4,3000,B004,1,1,S133,2,380,50000,5,20,1325,55,0
1,10008,1,1,4,2500,B009,0,1,S133,2,175,30000,5,19.18,1103,50,0
0,10018,3,3,4,700,B001,1,0,S133,3,0,40000,4,19.18,1103,50,0
0,10074,3,1,4,1500,B003,0,0,S122,5,0,40000,4,19.18,1103,71,0
1,10002,1,2,4,2800,B002,1,1,S159,3,0,42000,5,18.25,1072,49,0
0,10001,1,1,4,3300,B005,1,0,S133,2,0,40000,4,19.18,1103,46,0
1,10002,1,2,4,3000,B015,1,1,S122,6,0,45000,5,19.18,1103,35,0
0,10006,1,2,4,50000,B002,1,0,S133,2,2000,40000,4,19.18,1103,68,1
0,10074,3,1,4,2500,B009,0,0,S122,5,0,40000,4,19.18,1103,70,0
0,10003,1,1,4,1000,B030,1,0,S159,3,0,40000,4,19.18,1103,41,0
1,10002,1,3,4,3300,B002,1,1,S133,3,0,51000,5,19.18,1103,43,0
1,10002,1,2,4,2800,B002,1,1,S159,3,0,42000,5,19.18,1103,67,0
1,10034,3,3,4,4500,B002,1,1,S133,5,713.7,50000,5,14.99,1189,68,0
1,10001,1,2,4,6900,B001,1,1,S133,2,0,50000,5,19.18,1103,40,0
1,10001,1,3,1,5000,B001,1,1,S133,2,0,50000,5,14.85,1186,36,0
1,10003,1,2,4,1800,B003,0,1,S133,3,0,40000,5,20,1060,43,0
0,10001,1,2,4,2491,B011,1,0,S122,2,0,40000,4,19.18,1103,55,0
0,10001,1,1,4,1555,B003,0,0,S143,2,0,40000,4,19.18,1103,59,0
1,10007,1,1,4,2800,B003,0,1,S159,3,0,42000,5,16.75,1038,51,0
0,10001,1,1,4,1200,B010,0,0,S133,3,0,40000,4,19.18,1103,34,0
0,10001,1,1,4,4000,B002,1,0,S122,5,0,40000,4,19.18,1103,40,0
1,10003,1,2,4,5600,B002,1,1,S123,2,0,100000,5,19.18,1103,49,0
0,10001,1,2,4,6000,B002,1,0,S133,2,1050,40000,4,19.18,1103,41,0
0,10004,1,1,4,1000,B023,0,0,S159,2,150,40000,4,19.18,1103,36,0
1,10003,1,2,4,1800,B002,1,1,S122,3,0,40000,5,20,1060,37,0
0,10003,1,1,4,1250,B010,0,0,S159,3,0,40000,4,19.18,1103,60,0
0,10001,1,2,4,1658.6,B001,1,0,S133,2,800,40000,4,19.18,1103,49,0
1,10003,1,3,1,2500,B002,1,1,S133,5,0,8000,1,19.18,1103,41,0
0,10003,1,2,4,3150,B001,1,1,S122,2,450,30000,5,19.18,1103,46,0
1,10013,2,1,4,3830,B003,0,1,S159,3,0,62000,5,14.85,1470,70,0
0,10002,1,1,4,1000,B001,1,0,S159,2,300,40000,4,19.18,1103,70,0
1,10013,2,1,4,3655,B020,0,1,S133,3,0,50000,4,18,1469,56,0
1,10001,1,1,1,10000,B001,1,1,S122,2,0,100000,4,19.18,1103,62,0
0,10001,1,2,3,1350,B002,1,0,S151,2,300,40000,4,19.18,1103,38,0
1,10002,1,3,2,2370,B004,1,1,S159,3,0,37000,5,18.25,945,51,0
0,10001,1,3,4,3600,B002,1,0,S134,2,0,40000,4,19.18,1103,66,0
1,10004,1,1,1,3500,B002,1,1,S133,2,0,30000,3,19.18,1103,62,0
1,10013,2,2,4,2500,B001,1,1,S122,2,1000,20000,5,20,530,30,0
1,10003,1,2,4,4500,B002,1,1,S143,3,0,79000,5,19.18,1103,66,0
1,10002,1,1,4,5000,B041,1,1,S133,2,1500,50000,3,19.18,1103,68,0
1,10255,3,1,4,3000,B003,0,1,S133,5,0,69000,4,19.18,1103,31,0
1,10084,3,1,4,2000,B003,0,1,S137,2,180,10000,1,19.18,1103,35,0
1,10012,1,2,4,2100,B002,1,1,S127,3,0,30000,5,24,863,52,0
0,10004,1,1,4,25000,B022,0,0,S133,5,2480,40000,4,19.18,1103,62,0
0,10002,1,1,4,1600,B006,1,0,S159,3,0,40000,4,19.18,1103,48,0
0,10006,1,1,4,900,B003,0,0,S133,2,300,40000,4,19.18,1103,41,0
1,10004,1,1,4,6700,B003,0,1,S133,2,0,30000,3,14.85,1038,45,0
1,10009,2,1,1,35820.2,B003,0,1,S122,2,1600,100000,4,19.18,1103,66,0
1,10013,2,1,3,3000,B001,1,1,S133,6,0,45000,5,20,1192,69,0
1,10001,1,1,4,2510.1,B004,1,1,S122,2,133,50000,5,20,1325,49,0
1,10010,1,1,4,2195,B002,1,1,S159,2,0,30000,5,20,795,66,0
1,10333,3,1,4,5000,B003,0,1,S122,2,0,100000,5,19.18,1103,63,0
0,10073,3,1,4,3650,B003,0,0,S159,2,0,40000,4,19.18,1103,36,0
0,10010,1,1,4,8300,B002,1,0,S133,2,5350,40000,4,19.18,1103,38,0
1,10340,3,1,4,2500,B001,1,1,S133,2,0,50000,5,20,1325,43,0
1,10027,1,2,4,1900,B013,0,1,S133,2,0,10000,1,19.18,1103,55,0
1,10031,3,1,1,3500,B003,0,1,S122,5,0,50000,5,19.18,1103,41,0
1,10002,1,1,4,3550,B016,0,1,S159,3,0,57000,5,18,1447,70,0
0,10002,1,3,2,1500,B004,1,0,S133,3,0,40000,4,19.18,1103,31,0
1,10001,1,1,4,8260,B003,0,1,S122,2,0,100000,5,15.99,2431,57,0
0,10044,3,3,3,1760,B004,1,0,S143,2,0,40000,4,19.18,1103,37,0
1,10013,2,1,4,3500,B001,1,1,S133,3,0,54000,5,13.99,1256,38,0
1,10007,1,3,4,3000,B002,1,1,S133,5,920,50000,5,19.18,1103,47,0
1,10008,1,1,4,3400,B001,1,1,S133,5,0,30000,5,15.75,726,57,0
1,10007,1,2,4,1700,B001,1,1,S133,2,300,20000,4,18.5,593,34,0
1,10229,3,1,4,2000,B003,0,1,S122,2,0,30000,5,19.18,1103,55,0
1,10011,2,1,4,3500,B003,0,1,S133,2,400,82000,5,19.18,1103,47,0
0,10005,1,1,4,900,B001,1,0,S133,2,0,40000,4,19.18,1103,52,0
0,10001,1,2,4,15000,B001,1,0,S133,2,1100,40000,4,19.18,1103,49,1
1,10148,3,1,4,2200,B003,0,1,S133,2,500,20000,3,20,743,58,0
1,10003,1,1,4,1820,B004,1,1,S133,6,0,41000,5,20,1086,65,0
1,10006,1,3,4,2086,B044,1,1,S133,3,0,30000,5,18.25,766,35,0
1,10003,1,2,1,5500,B001,1,1,S133,5,0,50000,5,19.18,1103,41,0
0,10002,1,2,4,2000,B001,1,0,S133,2,0,40000,4,19.18,1103,65,0
0,10011,2,1,4,1500,B001,1,0,S122,2,700,40000,4,19.18,1103,67,0
0,10005,1,1,4,1500,B003,0,0,S143,2,250,40000,4,19.18,1103,60,0
0,10003,1,2,4,2100,B002,1,1,S133,2,500,29000,5,19.18,1103,36,0
1,10109,3,1,4,1500,B003,0,1,S133,2,500,10000,4,20,304,46,0
0,10002,1,3,4,1720,B011,1,0,S133,3,0,40000,4,19.18,1103,41,0
1,10044,3,3,3,1760,B004,1,1,S122,5,0,20000,4,18.5,593,42,0
1,10005,1,2,4,7000,B004,1,1,S122,2,0,50000,2,19.18,1103,54,0
0,10005,1,1,4,8500,B001,1,0,S133,2,4300,40000,4,19.18,1103,52,0
1,10002,1,1,4,3400,B001,1,1,S133,2,0,65000,4,19.18,1103,48,0
1,10293,3,3,4,3500,B001,1,1,S133,2,0,30000,5,19.18,1103,36,0
1,10050,3,1,4,5000,B003,0,1,S122,2,0,100000,5,13.5,2301,54,0
1,10015,3,1,1,3700,B003,0,1,S133,3,0,59000,5,15.5,1419,50,0
1,10008,1,3,4,2600,B002,1,1,S143,2,0,37000,4,19.18,1103,69,0
1,10001,1,2,4,5000,B001,1,1,S123,2,0,100000,5,19.18,1103,32,0
1,10251,3,1,4,3500,B003,0,1,S159,2,0,92000,5,20,2437,44,0
1,10007,1,2,4,2800,B001,1,1,S133,2,916,39000,5,19.18,1103,59,0
0,10006,1,2,4,880,B002,1,0,S133,5,0,40000,4,19.18,1103,44,0
1,10060,3,3,4,10000,B002,1,1,S133,5,200,10000,5,16,243,54,0
1,10021,2,1,4,5000,B003,0,1,S133,3,0,82000,5,18,2082,49,0
0,10001,1,2,4,5000,B007,0,0,S122,2,1230,40000,4,19.18,1103,48,0
1,10011,2,1,4,5000,B001,1,1,S122,2,700,50000,5,19.18,1103,59,0
0,10002,1,1,4,3140,B003,0,0,S134,2,1770,40000,4,19.18,1103,59,0
0,10001,1,2,4,13300,B011,1,0,S133,2,4750,40000,4,19.18,1103,42,0
1,10002,1,1,4,2100,B004,1,1,S122,3,0,30000,5,19.18,1103,55,0
1,10002,1,1,4,3000,B002,1,1,S143,2,0,20000,2,19,1008,49,0
1,10009,2,3,4,8500,B001,1,1,S133,5,0,150000,5,13.25,3432,44,0
1,10010,1,1,4,2250,B019,0,1,S143,3,0,33000,5,19.18,1103,32,0
1,10025,1,2,4,3500,B016,0,1,S159,3,0,54000,5,20,1431,41,0
1,10004,1,1,4,20000,B020,0,1,S133,2,0,20000,5,17.5,502,53,0
1,10005,1,2,4,3000,B004,1,1,S133,2,0,42000,3,17,1497,44,0
1,10004,1,1,4,2880,B003,0,1,S133,2,0,50000,4,16.25,1423,51,0
1,10003,1,1,4,5000,B003,0,1,S133,5,950,30000,5,14.85,711,68,0
1,10001,1,2,4,1850,B001,1,1,S134,2,0,20000,5,19.18,1103,43,0
1,10014,2,3,4,2000,B001,1,1,S133,5,650,10000,5,19.18,1103,34,0
1,10005,1,1,4,2700,B003,0,1,S143,3,0,40000,5,16.5,983,36,0
0,10075,3,1,4,20000,B001,1,0,S133,2,200,40000,4,19.18,1103,40,0
1,10005,1,2,4,3000,B004,1,1,S133,2,0,30000,4,19.75,909,47,0
1,10420,3,1,4,2700,B001,1,1,S133,2,0,20000,5,16.5,492,40,1
1,10019,2,1,1,3000,B003,0,1,S133,3,0,45000,5,19.18,1103,33,0
1,10012,1,1,4,3000,B013,0,1,S133,3,0,45000,5,15.5,1082,65,0
0,10002,1,1,4,1700,B003,0,0,S133,3,0,40000,4,19.18,1103,31,0
0,10002,1,1,4,1000,B003,0,0,S133,3,0,40000,4,19.18,1103,57,0
0,10004,1,2,4,1030,B001,1,0,S133,3,0,40000,4,19.18,1103,38,0
1,10025,1,2,4,3600,B003,0,1,S122,6,0,70000,5,19.18,1103,64,0
0,10026,3,2,4,1500,B001,1,0,S133,2,0,40000,4,19.18,1103,62,0
1,10001,1,2,4,2000,B006,1,1,S133,2,0,10000,2,18.25,500,54,0
0,10021,2,2,3,880,B003,0,0,S133,5,0,40000,4,19.18,1103,66,0
0,10002,1,3,4,1230,B002,1,0,S127,3,0,40000,4,19.18,1103,55,0
1,10014,2,1,4,1800,B003,0,1,S127,2,0,10000,3,20,372,51,0
1,10001,1,1,4,2000,B003,0,1,S143,2,0,39000,4,19.18,1103,64,0
0,10005,1,1,4,5500,B003,0,1,S133,3,0,95000,5,19.18,1103,45,0
1,10002,1,1,4,2228,B016,0,1,S133,2,0,20000,3,19.18,1103,47,0
1,10007,1,2,4,8000,B004,1,1,S143,3,0,120000,5,19.18,1103,34,0
0,10018,3,1,4,2500,B007,0,1,S133,3,0,36000,5,19.18,1103,41,0
1,10001,1,3,1,9550,B002,1,1,S133,5,500,10000,1,19.18,1103,70,0
1,10002,1,2,4,3996.3,B004,1,1,S143,3,0,57000,4,15,1586,46,0
1,10002,1,1,3,5000,B003,0,1,S133,2,600,30000,2,19.18,1103,61,0
1,10001,1,3,3,2200,B002,1,1,S133,5,120,20000,3,16.75,711,65,0
0,10001,1,2,4,1700,B014,1,0,S143,2,0,40000,4,19.18,1103,68,0
1,10001,1,2,4,2016.5,B014,1,1,S143,2,0,20000,3,18.25,726,70,0
0,10177,3,2,4,3000,B002,1,1,S127,2,500,30000,5,19.18,1103,68,0
0,10005,1,1,4,2700,B023,0,1,S133,3,0,31000,3,15.5,1082,55,0
1,10001,1,3,2,3100,B002,1,1,S133,2,0,20000,5,19.18,1103,49,0
1,10032,3,1,4,2500,B001,1,1,S133,2,0,20000,2,19.75,1015,41,0
1,10004,1,1,4,30000,B003,0,1,S133,2,0,30000,5,14.85,711,66,0
1,10176,3,3,4,2850,B003,0,1,S133,2,0,40000,3,16.75,1421,67,0
1,10005,1,1,4,1800,B003,0,1,S133,2,0,20000,5,19.18,1103,32,0
1,10004,1,1,4,2000,B001,1,1,S133,2,0,10000,2,20,509,44,0
1,10001,1,2,2,3000,B001,1,1,S133,2,0,12000,4,19.18,1103,68,0
1,10002,1,3,3,5500,B012,0,1,S143,2,0,15000,2,13.75,718,69,0
1,10021,2,2,4,10000,B003,0,1,S133,2,0,10000,5,17.5,251,41,0
1,10005,1,2,4,2000,B002,1,1,S134,2,0,30000,4,16.75,862,42,0
0,10005,1,1,4,1500,B019,0,0,S127,2,0,40000,4,19.18,1103,30,0
0,10001,1,3,3,2000,B004,1,0,S122,2,1000,40000,4,19.18,1103,50,0
1,10001,1,3,3,2000,B004,1,1,S122,2,0,30000,3,19.18,1103,54,0
1,10003,1,1,4,3500,B001,1,1,S133,2,0,50000,5,19.18,1103,31,0
0,10132,3,3,4,1000,B001,1,0,S133,5,0,40000,4,19.18,1103,70,0
0,10254,3,1,4,2000,B002,1,0,S133,2,1000,40000,4,19.18,1103,50,0
0,10286,3,1,4,4500,B003,0,1,S133,2,0,50000,3,19.18,1103,40,0
0,10004,1,1,4,1750,B004,1,0,S133,5,400,40000,4,19.18,1103,41,0
1,10001,1,1,4,2650,B001,1,1,S133,2,459,10000,5,20,265,68,0
1,10172,3,2,4,2500,B002,1,1,S133,2,0,30000,3,19.18,1103,42,0
1,10003,1,1,4,2400,B015,1,1,S133,3,0,35000,5,19.18,1103,64,0
1,10006,1,1,4,2300,B003,0,1,S144,3,0,33000,5,19.18,1103,66,0
0,10045,3,1,4,1500,B001,1,0,S133,2,600,40000,4,19.18,1103,68,0
1,10007,1,1,4,2100,B003,0,1,S133,3,0,30000,5,18.5,770,34,0
1,10006,1,1,4,3900,B001,1,1,S133,2,0,20000,2,19.18,1103,64,0
0,10003,1,1,4,4000,B003,0,0,S133,2,1650,40000,4,19.18,1103,61,0
0,10003,1,1,4,4000,B003,0,0,S133,2,1650,40000,4,19.18,1103,39,0
1,10003,1,1,4,4000,B003,0,1,S133,2,1150,30000,4,15.5,843,57,0
1,10006,1,3,4,2200,B002,1,1,S133,3,0,32000,5,16.75,791,51,0
1,10007,1,3,4,2500,B032,0,1,S151,2,0,20000,5,20,530,55,0
1,10001,1,3,4,2000,B001,1,1,S133,5,0,10000,1,19.18,1103,68,0
0,10001,1,1,4,1200,B001,1,0,S133,5,450,40000,4,19.18,1103,57,0
1,10003,1,2,4,1800,B008,0,1,S122,6,0,40000,5,19.18,1103,34,0
1,10006,1,2,4,12000,B001,1,1,S133,2,0,20000,2,19.18,1103,70,1
0,10003,1,3,1,4880,B002,1,0,S143,2,2489.7,40000,4,19.18,1103,42,0
0,10006,1,2,4,8500,B001,1,0,S133,2,3800,40000,4,19.18,1103,69,0
0,10006,1,2,4,8500,B001,1,0,S133,2,3500,40000,4,19.18,1103,66,0
0,10003,1,3,1,4880,B002,1,0,S133,5,2215.7,40000,4,19.18,1103,41,0
1,10007,1,2,2,3000,B001,1,1,S143,3,0,49000,5,19.18,1103,38,0
1,10021,2,1,4,2500,B023,0,1,S122,6,0,36000,5,18.25,919,35,0
